f1,f2,f3,f4,f5,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
1.0,0.0,0.0,0.0,0.0,1.0,95.0,0.0,0.0,95.0
0.0,0.0,0.0,1.0,0.0,32.0,1536.0,-76.8,0.0,1459.2
0.0,1.0,0.0,0.0,0.0,..,96.0,-4.8,0.0,91.2
1.0,0.0,0.0,0.0,0.0,00,198.0,-19.8,0.0,178.2
1.0,0.0,0.0,0.0,0.0,1.0,38.0,-3.8,0.0,34.2
1.0,0.0,0.0,0.0,0.0,2.0,136.0,00,0.0,136.0
0.0,0.0,0.0,1.0,0.0,5.0,140.0,-2.8,0.0,137.2
0.0,0.0,0.0,1.0,0.0,1.0,68.0,0.0,0.0,68.0
0.0,0.0,0.0,0.0,1.0,4.0,112.0,0.0,0.0,112.0
0.0,1.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0
0.0,1.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,48.0
1.0,0.0,0.0,0.0,0.0,8.0,224.0,-14.0,0.0,210.0
0.0,1.0,0.0,0.0,0.0,12.0,546.0,-17.6,-37.0,491.4
0.0,1.0,0.0,0.0,0.0,6.0,170.0,-11.6,0.0,158.4
0.0,0.0,0.0,1.0,0.0,1.0,32.0,-3.2,0.0,28.8
0.0,0.0,0.0,0.0,1.0,1.0,,-1.8,0.0,16.2
1.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,,24.0
0.0,1.0,0.0,0.0,0.0,1.0,185.0,0.0,0.0,185.0
0.0,0.0,1.0,0.0,0.0,2.0,76.0,-3.8,0.0,72.2
0.0,0.0,1.0,0.0,0.0,2.0,116.0,-5.8,0.0,110.2
0.0,0.0,0.0,0.0,1.0,4.0,140.0,0.0,0.0,140.0
0.0,1.0,0.0,0.0,0.0,2.0,220.0,0.0,0.0,220.0
0.0,1.0,0.0,0.0,0.0,6.0,408.0,-11.8,0.0,396.2
0.0,0.0,0.0,1.0,0.0,2.0,64.0,0.0,0.0,64.0
0.0,0.0,0.0,0.0,1.0,2.0,264.0,0.0,0.0,264.0
0.0,1.0,0.0,0.0,0.0,1.0,145.0,-5.0,0.0,140.0
1.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,40.0
0.0,0.0,0.0,1.0,0.0,2.0,44.0,0.0,0.0,44.0
0.0,0.0,1.0,0.0,0.0,1.0,,-7.6,-38.0,30.4
0.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,44.0
0.0,1.0,0.0,0.0,0.0,1.0,125.0,0.0,0.0,125.0
0.0,1.0,0.0,0.0,0.0,1.0,44.0,-8.8,0.0,35.2
0.0,1.0,0.0,0.0,0.0,3.0,1179.0,0.0,Ć͔͹ȁƴ,891.0
1.0,0.0,0.0,0.0,0.0,3.0,440.0,0.0,-110.0,330.0
0.0,0.0,0.0,1.0,0.0,11.0,528.0,-33.58,0.0,494.42
1.0,0.0,0.0,0.0,0.0,Some college,1260.0,-46.2,0.0,1213.8
0.0,0.0,0.0,1.0,0.0,3.0,122.0,0.0,0.0,122.0
0.0,0.0,0.0,1.0,0.0,96.0,1400.0,-42.0,-56.0,1302.0
0.0,1.0,0.0,0.0,0.0,3.0,60.0,-5.0,0.0,55.0
0.0,1.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,28.0
1.0,0.0,0.0,0.0,0.0,4.0,157.0,0.0,0.0,157.0
0.0,0.0,0.0,0.0,1.0,3.0,84.0,0.0,0.0,84.0
0.0,0.0,0.0,0.0,1.0,1.0,32.0,0.0,0.0,32.0
0.0,0.0,1.0,0.0,0.0,1.0,38.0,0.0,0.0,38.0
0.0,0.0,0.0,1.0,0.0,2.0,5É6.0,0.0,0.0,56.0
1.0,0.0,0.0,0.0,0.0,15.0,278.0,-8.71,0.0,269.29
0.0,0.0,0.0,0.0,1.0,Some college,72.0,-7.2,0.0,64.8
0.0,1.0,0.0,0.0,0.0,3.0,163.0,-4.8,0.0,158.2
0.0,1.0,0.0,0.0,0.0,9.0,1315.0,-57.5,0.0,1257.5
1.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,45.0
1.0,0.0,0.0,0.0,0.0,2.0,36.0,-2.1,0.0,33.9
0.0,1.0,0.0,0.0,0.0,3.0,525.0,-17.5,0.0,507.5
1.0,0.0,0.0,0.0,0.0,3.0,114.0,-3.8,0.0,110.2
0.0,0.0,0.0,0.0,1.0,2.0,84.0,0.0,-28.0,56.0
0.0,0.0,1.0,0.0,0.0,3.0,234.0,-19.5,0.0,214.5
0.0,1.0,0.0,0.0,0.0,1.0,175.0,,00,175.0
1.0,0.0,0.0,0.0,0.0,3.0,54.0,-1.8,0.0,52.2
0.0,1.0,0.0,0.0,0.0,1.0,58.0,0.0,0.0,58.0
0.0,0.0,0.0,0.0,1.0,2.0,56.0,0.0,00..00,56.0
0.0,0.0,0.0,0.0,1.0,5.0,140.0,-5.6,0.0,134.4
0.0,0.0,1.0,0.0,0.0,"
țŷ",176.0,-4.4,0.0,171.6
0.0,0.0,1.0,0.0,0.0,3.0,374.0,0.0,0.0,374.0
1.0,0.0,0.0,0.0,0.0,3.0,82.0,-2.2,0.0,79.8
0.0,0.0,0.0,1.0,0.0,1.0,58.0,0.0,0.0,58.0
1.0,0.0,0.0,0.0,0.0,7.0,315.0,-9.5,0.0,305.5
0.0,1.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,24.0
0.0,1.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,28.0
0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,145.0
1.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,38.0
0.0,1.0,0.0,0.0,0.0,2.0,232.0,-23.2,0.0,208.8
0.0,0.0,0.0,1.0,0.0,8.0,112.0,0.0,0.0,112.0
1.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,38.0
0.0,0.0,0.0,0.0,1.0,1.0,56.0,0.0,0.0,56.0
0.0,1.0,0.0,0.0,0.0,1.0,165.0,0.0,0.0,165.0
0.0,0.0,0.0,1.0,0.0,2.0,36.0,0.0,0.0,36.0
0.0,1.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,48.0
0.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,22.0
1.0,0.0,0.0,0.0,0.0,3.0,66.0,-5.5,0.0,60.5
0.0,1.0,0.0,0.0,0.0,3.0,114.0,-3.8,0.0,110.2
0.0,1.0,0.0,0.0,0.0,1.0,58.0,0.0,0.0,58.0
1.0,0.0,0.0,0.0,0.0,1.0,,-4.49,0.0,40.51
0.0,0.0,1.0,0.0,0.0,1.0,124.0,0.0,0.0,124.0
0.0,0.0,0.0,1.0,0.0,16.0,448.0,-8.4,0.0,439.6
